particle,frame,x,y,Distance,Velocity,Pixel Value
1,314,523,325,3.761,1.880,51
1,315,524,304,2.712,1.356,64
1,316,524,286,2.322,1.161,52
1,317,515,252,4.537,2.269,34
1,318,503,223,4.049,2.024,44
1,319,501,220,0.465,0.233,56
1,320,503,229,1.189,0.595,55
1,321,504,234,0.658,0.329,36
1,322,510,255,2.817,1.409,26
1,323,508,263,1.064,0.532,31
1,324,509,253,1.296,0.648,37
1,325,511,250,0.465,0.233,34
1,326,502,243,1.471,0.735,29
1,327,493,234,1.642,0.821,30
1,328,488,234,0.645,0.323,25
1,329,475,225,2.040,1.020,32
1,330,495,225,2.580,1.290,29
1,331,506,235,1.918,0.959,48
1,332,511,242,1.110,0.555,41
1,333,518,285,5.620,2.810,52
1,334,520,319,4.394,2.197,26
1,335,517,307,1.596,0.798,36
1,336,512,283,3.162,1.581,46
1,337,515,282,0.408,0.204,37
1,338,517,290,1.064,0.532,27
1,339,512,279,1.559,0.779,22
1,340,512,271,1.032,0.516,35
1,341,516,267,0.730,0.365,50
1,342,513,263,0.645,0.323,36
1,343,518,281,2.410,1.205,43
1,344,524,299,2.448,1.224,48
1,345,521,291,1.102,0.551,56
1,346,512,260,4.164,2.082,41
1,347,515,283,2.992,1.496,23
1,348,519,302,2.505,1.252,44
1,349,516,298,0.645,0.323,33
1,350,516,284,1.806,0.903,44
1,351,519,289,0.752,0.376,49
1,352,521,292,0.465,0.233,44
1,353,518,279,1.721,0.861,45
1,354,517,284,0.658,0.329,43
1,355,525,316,4.255,2.128,45
1,356,522,344,3.633,1.816,39
1,357,521,326,2.326,1.163,36
1,358,523,326,0.258,0.129,43
1,359,524,319,0.912,0.456,59
1,360,523,308,1.425,0.712,50
1,361,522,294,1.811,0.905,75
1,362,524,306,1.569,0.785,123
1,363,526,324,2.336,1.168,102
1,364,526,343,2.451,1.226,66
1,365,525,360,2.197,1.098,64
1,366,524,350,1.296,0.648,97
1,367,512,345,1.677,0.839,150
1,368,506,318,3.568,1.784,141
1,369,512,316,0.816,0.408,232
