particle,frame,x,y,Distance,Velocity,Pixel Value
1,443,696,465,1.371,0.686,80
1,444,694,482,2.208,1.104,107
1,445,697,457,3.248,1.624,105
1,446,696,458,0.182,0.091,98
1,447,693,424,4.403,2.202,93
1,448,694,404,2.583,1.292,85
1,449,689,433,3.796,1.898,90
1,450,688,428,0.658,0.329,82
1,451,688,432,0.516,0.258,103
1,452,692,444,1.632,0.816,91
1,453,688,433,1.510,0.755,89
1,454,684,402,4.032,2.016,84
1,455,686,405,0.465,0.233,72
1,456,688,428,2.978,1.489,87
1,457,689,430,0.288,0.144,86
1,458,693,440,1.389,0.695,102
1,459,693,437,0.387,0.194,90
1,460,692,402,4.517,2.258,102
1,461,694,392,1.316,0.658,102
1,462,693,425,4.259,2.129,106
1,463,692,440,1.939,0.970,107
1,464,693,424,2.068,1.034,99
1,465,693,433,1.161,0.581,94
1,466,686,464,4.100,2.050,95
1,467,689,478,1.847,0.923,98
1,468,690,473,0.658,0.329,89
1,469,692,434,5.038,2.519,105
1,470,689,424,1.347,0.673,84
1,471,688,432,1.040,0.520,85
1,472,689,440,1.040,0.520,97
1,473,686,445,0.752,0.376,85
1,474,686,453,1.032,0.516,89
1,475,684,438,1.952,0.976,86
1,476,688,429,1.271,0.635,88
1,477,690,449,2.593,1.296,104
1,478,693,460,1.471,0.735,119
1,479,694,466,0.785,0.392,85
1,480,692,446,2.593,1.296,65
1,481,693,460,1.811,0.905,93
1,482,689,469,1.271,0.635,90
1,483,689,469,0.000,0.000,107
1,484,693,460,1.271,0.635,82
1,485,685,478,2.541,1.271,99
1,486,677,490,1.860,0.930,95
1,487,684,469,2.856,1.428,79
1,488,685,470,0.182,0.091,83
1,489,693,454,2.308,1.154,67
1,490,692,450,0.532,0.266,68
1,491,690,473,2.978,1.489,67
1,492,692,465,1.064,0.532,79
1,493,692,453,1.548,0.774,72
1,494,690,433,2.593,1.296,68
1,495,694,426,1.040,0.520,65
1,496,694,440,1.806,0.903,82
1,497,690,448,1.154,0.577,68
1,498,693,433,1.973,0.987,92
1,499,692,444,1.425,0.712,87
1,500,693,444,0.129,0.065,91
1,501,692,414,3.872,1.936,90
1,502,693,438,3.099,1.549,82
1,503,692,461,2.970,1.485,81
1,504,693,472,1.425,0.712,71
1,505,693,456,2.064,1.032,95
1,506,696,446,1.347,0.673,101
1,507,689,469,3.101,1.551,89
1,508,690,470,0.182,0.091,70
1,509,694,456,1.878,0.939,90
1,510,694,450,0.774,0.387,78
1,511,689,440,1.442,0.721,69
1,512,689,460,2.580,1.290,89
1,513,689,477,2.193,1.097,95
1,514,685,481,0.730,0.365,89
1,515,688,436,5.818,2.909,91
1,516,689,417,2.454,1.227,106
1,517,688,392,3.228,1.614,77
1,518,685,404,1.596,0.798,94
1,519,684,450,5.935,2.968,100
1,520,680,500,6.471,3.235,71
1,521,680,490,1.290,0.645,76
1,522,681,474,2.068,1.034,74
1,523,681,493,2.451,1.226,83
1,524,689,468,3.386,1.693,103
1,525,692,469,0.408,0.204,117
1,526,688,445,3.139,1.569,83
1,527,689,444,0.182,0.091,93
1,528,694,464,2.659,1.330,118
1,529,693,474,1.296,0.648,108
1,530,694,482,1.040,0.520,92
1,531,690,461,2.758,1.379,92
1,532,693,438,2.992,1.496,89
1,533,697,449,1.510,0.755,93
1,534,694,434,1.973,0.987,100
1,535,693,413,2.712,1.356,104
1,536,694,410,0.408,0.204,117
1,537,693,437,3.485,1.743,107
1,538,693,432,0.645,0.323,95
1,539,694,436,0.532,0.266,105
1,540,696,457,2.721,1.361,110
1,541,692,432,3.266,1.633,87
1,542,692,425,0.903,0.452,88
1,543,692,442,2.193,1.097,82
1,544,694,440,0.365,0.182,85
1,545,697,457,2.227,1.113,79
1,546,698,460,0.408,0.204,73
1,547,694,450,1.389,0.695,68
1,548,693,453,0.408,0.204,64
1,549,693,428,3.225,1.613,117
1,550,693,432,0.516,0.258,76
1,551,697,461,3.776,1.888,95
1,552,694,457,0.645,0.323,88
1,553,694,409,6.192,3.096,89
1,554,696,405,0.577,0.288,86
1,555,698,425,2.593,1.296,69
1,556,696,420,0.695,0.347,75
1,557,692,406,1.878,0.939,67
1,558,690,438,4.136,2.068,69
1,559,693,402,4.660,2.330,79
1,560,693,433,3.999,2.000,75
1,561,694,466,4.259,2.129,71
1,562,692,474,1.064,0.532,80
1,563,692,492,2.322,1.161,84
1,564,690,494,0.365,0.182,70
1,565,690,464,3.870,1.935,64
1,566,686,461,0.645,0.323,84
1,567,686,428,4.257,2.128,71
1,568,686,414,1.806,0.903,73
1,569,690,462,6.213,3.107,107
1,570,693,490,3.633,1.816,102
1,571,690,490,0.387,0.194,101
1,572,692,476,1.824,0.912,73
1,573,696,465,1.510,0.755,92
1,574,693,445,2.609,1.304,69
1,575,693,433,1.548,0.774,61
1,576,697,465,4.160,2.080,65
1,577,696,474,1.168,0.584,104
1,578,697,472,0.288,0.144,91
1,579,697,468,0.516,0.258,119
1,580,694,457,1.471,0.735,106
1,581,694,433,3.096,1.548,93
1,582,693,422,1.425,0.712,96
1,583,697,460,4.929,2.465,100
1,584,697,460,0.000,0.000,102
1,585,696,418,5.420,2.710,81
1,586,697,444,3.356,1.678,74
1,587,698,441,0.408,0.204,99
1,588,692,476,4.581,2.290,84
1,589,694,488,1.569,0.785,111
1,590,697,468,2.609,1.304,139
1,591,697,445,2.967,1.484,98
1,592,697,458,1.677,0.839,106
1,593,694,426,4.146,2.073,114
1,594,689,428,0.695,0.347,105
1,595,694,428,0.645,0.323,110
1,596,690,457,3.776,1.888,113
1,597,693,478,2.737,1.368,113
1,598,694,461,2.197,1.098,104
1,599,693,446,1.939,0.970,90
1,600,693,452,0.774,0.387,71
1,601,694,458,0.785,0.392,123
1,602,692,412,5.940,2.970,108
1,603,692,413,0.129,0.065,122
1,604,692,402,1.419,0.710,150
1,605,692,412,1.290,0.645,115
1,606,692,414,0.258,0.129,85
1,607,693,468,6.967,3.484,89
1,608,686,476,1.371,0.686,83
1,609,685,469,0.912,0.456,91
1,610,689,450,2.505,1.252,85
